cluster_id,size,medoid,members
1,2,x_volume_profile_fast,x_volume_profile_fast|x_volume_profile_indicator
2,2,x_skewness,x_skewness|x_volume_price_correlation
3,5,x_p_ret_20h,x_linearreg_ma|x_macd_histogram|x_p_ret_20h|x_return_5d|x_roc
4,19,x_stoch_k,x_ad|x_aroon_down|x_aroon_oscillator|x_aroon_up|x_bollinger_position|x_cci|x_chaikin_oscillator|x_donchian_position|x_keltner_position|x_klinger|x_money_flow_index|x_money_flow_ratio|x_qstick|x_rsi_14d|x_rvi|x_stoch_d|x_stoch_k|x_ultimate_oscillator|x_williams_r
5,7,x_momentum_20d,x_macd|x_macd_signal|x_momentum_20d|x_sharpe|x_trix|x_vol_weighted_return|x_volume_weighted_return
6,1,x_ease_of_movement,x_ease_of_movement
7,1,x_price_ma250_dev,x_price_ma250_dev
8,2,x_ma_ret_1h,x_ma_ret_1h|x_ma_ret_2h
9,5,x_ma_ret_8h,x_ma_ret_12h|x_ma_ret_20h|x_ma_ret_4h|x_ma_ret_6h|x_ma_ret_8h
10,1,x_ma_bar_ret,x_ma_bar_ret
11,3,x_gap_ratio,x_gap_ratio|x_overnight_return|x_overnight_volatility
12,3,x_spread_2h,x_spread_1h|x_spread_2h|x_spread_4h
13,4,x_spread_8h,x_spread_12h|x_spread_20h|x_spread_6h|x_spread_8h
14,7,x_p_ret_6h,x_p_ret_12h|x_p_ret_1h|x_p_ret_2h|x_p_ret_4h|x_p_ret_6h|x_p_ret_8h|x_vwap_dev
15,8,x_price_reversal_1d,x_close_position_ratio|x_delta|x_intraday_return|x_log_return_1d|x_ofi|x_price_acceleration|x_price_reversal_1d|x_return_1d
16,1,x_price_channel_breakout,x_price_channel_breakout
17,1,x_ma_afternoon_ret,x_ma_afternoon_ret
18,1,x_market_depth_imbalance,x_market_depth_imbalance
19,1,x_ma_midday_ret,x_ma_midday_ret
20,1,x_adx,x_adx
21,1,x_trend_strength,x_trend_strength
22,1,x_hurst_exponent,x_hurst_exponent
23,1,x_kyle_lambda_lag,x_kyle_lambda_lag
24,1,x_amihud_volatility,x_amihud_volatility
25,1,x_volatility_ratio,x_volatility_ratio
26,1,x_kurtosis,x_kurtosis
27,1,x_price_impact,x_price_impact
28,4,x_parabolic_sar,x_boll_lower|x_boll_upper|x_parabolic_sar|x_vwap
29,2,x_accumulation_distribution,x_accumulation_distribution|x_obv
30,6,x_parkinson_volatility,x_atr|x_fractal_dimension|x_high_low_ratio|x_kyle_lambda|x_parkinson_volatility|x_realized_volatility
31,1,x_price_volume_trend,x_price_volume_trend
32,1,x_intraday_volatility,x_intraday_volatility
33,1,x_open_interest,x_open_interest
34,1,x_amihud_illiquidity,x_amihud_illiquidity
35,1,x_price_jump,x_price_jump
36,4,x_relative_volume,x_relative_volume|x_turnover|x_volume_acceleration|x_volume_change_rate
37,1,x_volume_momentum,x_volume_momentum
38,1,x_volume_ma_ratio,x_volume_ma_ratio
39,1,x_liquidity_indicator,x_liquidity_indicator
